npr1_db,metric1,npr2_db,metric2,amp
-33.197781,-4.82350498e-01,-48.879189,0.00000000e+00,0.004
-33.175552,-2.96761066e-01,-48.836838,0.00000000e+00,0.004
-33.202423,-1.60357878e-01,-48.918766,0.00000000e+00,0.004
-33.158001,1.69063240e-01,-48.853802,0.00000000e+00,0.004
-33.041832,-8.75495467e-03,-48.874916,0.00000000e+00,0.004
-33.014961,2.30439112e-01,-48.822845,0.00000000e+00,0.004
-33.178524,3.12052979e+02,-48.872383,0.00000000e+00,0.004
-27.210228,6.23664978e+02,-42.813778,0.00000000e+00,0.008
-27.166634,3.11393188e+02,-42.818268,0.00000000e+00,0.008
-26.994991,-5.57065785e-01,-42.873226,0.00000000e+00,0.008
-26.992363,1.31636962e-01,-42.783321,0.00000000e+00,0.008
-27.017519,1.14698775e-01,-42.827053,0.00000000e+00,0.008
-27.005613,-7.55547047e-01,-42.917191,0.00000000e+00,0.008
-26.951885,6.77773580e-02,-42.821831,0.00000000e+00,0.008
-27.088570,-3.55427504e-01,-42.759571,0.00000000e+00,0.008
-27.167492,3.66035551e-02,-42.954884,0.00000000e+00,0.008
-27.084597,-6.33319378e-01,-42.680935,0.00000000e+00,0.008
-27.057152,6.57401919e-01,-42.785282,0.00000000e+00,0.008
-27.010239,-6.18882775e-01,-42.979416,0.00000000e+00,0.008
-27.088701,-2.96799354e-02,-42.749348,0.00000000e+00,0.008
-27.168880,7.27413297e-01,-42.864159,0.00000000e+00,0.008
-27.036034,-2.11631775e-01,-42.852585,0.00000000e+00,0.008
-27.105648,-6.98749781e-01,-42.814102,0.00000000e+00,0.008
-27.132275,-8.90303612e-01,-42.811626,0.00000000e+00,0.008
-27.190741,-8.01793814e-01,-42.827686,0.00000000e+00,0.008
-27.059248,-3.54510695e-01,-42.855572,0.00000000e+00,0.008
-26.972832,3.12506805e+02,-42.830196,0.00000000e+00,0.008
-27.167185,3.12316589e+02,-42.759964,0.00000000e+00,0.008
-27.104755,6.24122070e+02,-42.835793,0.00000000e+00,0.008
-26.965437,8.55311096e-01,-42.791523,0.00000000e+00,0.008
-26.963079,-3.08372319e-01,-42.843151,0.00000000e+00,0.008
-27.070082,3.03243786e-01,-42.887077,0.00000000e+00,0.008
-27.037300,-1.31517455e-01,-42.863548,0.00000000e+00,0.008
