snr1_db,metric1,snr2_db,metric2,amp
-9.206446,1.49159694e+00,-1.801252,2.73127604e+00,1
-9.206446,1.49159694e+00,-4.204467,2.96457601e+00,1
-0.737230,3.69310975e+00,-6.169140,2.83258653e+00,1
-5.005952,1.70432544e+00,2.664034,2.16543818e+00,1
-8.853696,1.19967258e+00,-9.122184,2.18457961e+00,1
-8.853696,1.19967258e+00,-1.072372,3.14618349e+00,1
-8.853696,1.19967258e+00,-5.862059,2.26694894e+00,1
-20.228851,2.33477974e+00,-5.255675,4.40936804e+00,1
-8.166577,1.65312374e+00,0.348162,1.96352458e+00,1
-8.220108,1.15735996e+00,-10.320860,1.66373277e+00,0.9
-5.877449,9.65994120e-01,-4.496119,2.60063696e+00,0.9
-2.973078,2.48220587e+00,-13.987355,2.76656699e+00,0.9
-9.855984,4.68682384e+00,-1.819361,2.90460396e+00,0.9
-6.679595,3.99011660e+00,-8.247093,2.38315487e+00,0.9
-6.679595,3.99011660e+00,-10.051992,2.31044769e+00,0.9
-6.679595,3.99011660e+00,-10.902865,2.38722897e+00,0.9
-6.679595,3.99011660e+00,0.458347,6.26102877e+00,0.9
-8.838730,1.97042882e+00,-4.602218,2.91642761e+00,0.9
-8.838730,1.97042882e+00,0.826949,2.05429101e+00,0.9
-8.838730,1.97042882e+00,-3.972092,1.70268965e+00,0.9
-8.838730,1.97042882e+00,-8.080349,9.63854551e-01,0.9
-8.629910,2.51304626e+00,-13.114353,4.09388685e+00,0.9
-14.091423,4.74185324e+00,-8.426970,1.33789933e+00,0.9
-14.091423,4.74185324e+00,-10.291855,1.63055861e+00,0.9
-9.409461,3.06439996e+00,-3.060163,3.59946871e+00,0.9
-9.409461,3.06439996e+00,0.069831,1.19240534e+00,0.9
-13.591788,1.59736228e+00,-5.268408,1.37466943e+00,0.9
-2.787965,1.72984111e+00,3.550533,1.16604173e+00,0.9
-2.787965,1.72984111e+00,-8.279117,1.22010732e+00,0.9
-2.787965,1.72984111e+00,-5.275669,3.32166243e+00,0.9
-2.787965,1.72984111e+00,-11.009751,1.78813124e+00,0.9
-2.787965,1.72984111e+00,-24.786411,1.77007663e+00,0.9
-2.787965,1.72984111e+00,-3.848784,2.55654669e+00,0.9
-4.251315,1.74886203e+00,-10.241023,1.81422853e+00,0.9
-10.391498,1.88881969e+00,-5.116187,2.16716957e+00,0.9
-3.510901,5.58658743e+00,-1.855151,7.04747677e+00,0.9
-2.663442,3.24560833e+00,-1.065426,1.71217072e+00,0.9
-2.663442,3.24560833e+00,-3.620872,2.06813359e+00,0.9
-2.663442,3.24560833e+00,-4.989927,1.15034235e+00,0.9
0.451568,1.17896700e+00,-6.370046,1.67599249e+00,0.9
-15.735577,1.77639616e+00,-14.698213,2.47089386e+00,0.9
-2.320350,4.75927925e+00,-7.316195,1.76780057e+00,0.9
-0.015006,1.35276926e+00,-9.261304,1.53432703e+00,0.9
-0.015006,1.35276926e+00,-2.900699,2.69467163e+00,0.9
-5.291885,1.04532158e+00,-10.582304,5.60437059e+00,0.9
-5.291885,1.04532158e+00,-9.994478,1.20001566e+00,0.9
-5.291885,1.04532158e+00,-25.637655,1.80202878e+00,0.9
0.337962,1.30324125e+00,0.229796,3.20021749e+00,0.9
0.337962,1.30324125e+00,-3.673994,7.34233570e+00,0.9
-1.892172,1.64562118e+00,-6.219822,2.19608998e+00,0.9
-1.892172,1.64562118e+00,-0.665458,1.82907903e+00,0.9
-1.892172,1.64562118e+00,-9.862864,2.51300049e+00,0.9
-7.680365,1.18276024e+00,-6.181340,1.13322008e+00,0.9
-0.956968,2.61540890e+00,-2.729084,1.63835287e+00,0.9
-1.012338,1.72459781e+00,-8.850830,2.81989217e+00,0.9
-10.530875,1.71775115e+00,-12.532084,4.20328093e+00,0.9
-20.675800,1.09877908e+00,-25.586897,1.87855709e+00,0.9
-20.675800,1.09877908e+00,-5.209741,3.20383024e+00,0.9
-7.655726,2.97590566e+00,-16.304012,1.70963252e+00,0.9
-7.655726,2.97590566e+00,-10.286615,3.03394365e+00,0.9
-7.655726,2.97590566e+00,-3.517514,2.11523795e+00,0.9
-7.655726,2.97590566e+00,-11.001870,1.31938279e+00,0.9
-7.655726,2.97590566e+00,-9.282261,3.78389335e+00,0.9
-1.068283,2.06594110e+00,-0.411535,2.51365042e+00,0.9
-18.920845,2.07251668e+00,-8.991586,3.11599016e+00,0.9
-0.507481,1.39697897e+00,-8.294246,1.28473091e+00,0.9
1.767147,1.75402427e+00,-13.003486,1.56737506e+00,0.9
-7.699102,1.42987013e+00,-4.996225,1.54329681e+00,0.9
-7.699102,1.42987013e+00,-1.511972,1.05819845e+00,0.9
-7.699102,1.42987013e+00,-1.363162,1.78902209e+00,0.9
-7.699102,1.42987013e+00,-5.722271,1.12949591e+01,0.9
-7.699102,1.42987013e+00,-1.799650,1.05307817e+00,0.9
-4.777848,2.39455056e+00,-1.897859,5.00181770e+00,0.9
-14.809739,4.54422379e+00,-1.186436,2.44883752e+00,0.9
-7.695687,2.14033818e+00,-12.667670,1.22039688e+00,0.9
-7.695687,2.14033818e+00,-3.445278,8.79475212e+00,0.9
-7.695687,2.14033818e+00,-6.345553,3.18352032e+00,0.9
0.660900,4.39941120e+00,-5.162425,3.80977345e+00,0.9
-10.533977,2.17395902e+00,-3.250170,9.65747547e+00,0.9
-3.920304,1.91210735e+00,-15.780617,2.49376965e+00,0.9
-3.920304,1.91210735e+00,-4.138631,1.61928380e+00,0.9
-4.760752,3.30169535e+00,-3.703569,2.34658098e+00,0.9
-8.220018,1.16358638e+00,-8.362754,4.17235184e+00,0.8
-8.220018,1.16358638e+00,-5.571301,2.42317843e+00,0.8
-2.427988,2.43158269e+00,-6.610682,1.69095707e+00,0.8
-2.427988,2.43158269e+00,-29.178047,1.56290340e+00,0.8
-9.862472,3.24020433e+00,-7.645538,3.23364234e+00,0.8
-6.679657,4.01375055e+00,-11.819431,1.08989525e+01,0.8
-6.679657,4.01375055e+00,-6.266832,3.44435215e+00,0.8
-6.679657,4.01375055e+00,0.065644,2.95991492e+00,0.8
-6.679657,4.01375055e+00,0.027476,3.36727452e+00,0.8
-0.124169,1.62171090e+00,-5.085671,1.32533646e+00,0.8
-9.230001,1.96290934e+00,-10.556514,3.88610387e+00,0.8
-9.230001,1.96290934e+00,-10.405350,3.30250478e+00,0.8
-9.230001,1.96290934e+00,-2.291235,9.18897271e-01,0.8
-9.230001,1.96290934e+00,-7.230279,1.10229313e+00,0.8
-9.230001,1.96290934e+00,-0.280795,1.20947957e+00,0.8
-15.371425,1.88947642e+00,-6.072665,7.24598598e+00,0.8
-8.549518,4.73966265e+00,1.466612,9.77118301e+00,0.8
-4.613422,1.26184249e+00,-3.590583,1.74596596e+00,0.8
-4.613422,1.26184249e+00,-2.690316,2.07735348e+00,0.8
-4.613422,1.26184249e+00,-2.965712,1.71038210e+00,0.8
-3.062408,2.14802957e+00,-2.579921,1.91413510e+00,0.8
-3.062408,2.14802957e+00,-8.752866,9.50868225e+00,0.8
-3.062408,2.14802957e+00,-4.877845,1.72987962e+00,0.8
-3.062408,2.14802957e+00,-5.938796,7.78429079e+00,0.8
-3.062408,2.14802957e+00,-18.084944,2.40972114e+00,0.8
-3.062408,2.14802957e+00,-6.958558,1.72778177e+00,0.8
-3.161507,1.73307323e+00,-1.144050,1.80179667e+00,0.8
-3.161507,1.73307323e+00,-3.937242,2.72312975e+00,0.8
-3.757670,5.61242437e+00,-3.879209,1.26195729e+00,0.8
-2.057287,3.11389470e+00,-4.078334,1.68262653e+01,0.8
-2.057287,3.11389470e+00,-14.768019,1.18998003e+00,0.8
-2.057287,3.11389470e+00,-3.982069,2.12350464e+00,0.8
-2.557147,1.76143384e+00,-5.007051,4.06902218e+00,0.8
-8.791344,1.78687274e+00,-2.504718,2.79074097e+00,0.8
-8.791344,1.78687274e+00,-7.439346,1.63035643e+00,0.8
-0.469891,1.37431645e+00,-2.420324,2.83731604e+00,0.8
-4.287921,1.02182937e+00,-1.799794,2.64021039e+00,0.8
-4.287921,1.02182937e+00,-3.613645,2.59211755e+00,0.8
-4.287921,1.02182937e+00,-4.192491,2.35574603e+00,0.8
